代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量,糾結度,量比
2317,鴻海,股價在年線下上3%以內,197.0,197.77,-0.39%,年線下方準備突破,45229464,,
1503,士電,股價在年線下上3%以內,182.5,181.92,0.32%,年線上方強勢整理,910122,,
2002,中鋼,"股價在年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",19.5,19.44,0.28%,年線上方整理,40566754,1.67%,0.73x
2027,大成鋼,"股價在年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",36.95,37.64,-1.84%,年線下方待突破,27675434,0.48%,0.62x
