代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量,糾結度,量比
3231,緯創,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強, 年線上下3% + 均線糾結 + 帶量轉強 + 【新增】年線走平或上揚",109.5,109.04,0.42%,年線上方整理 (上升/走平),68238896,4.09%,1.51x
3036,文曄,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強, 年線上下3% + 均線糾結 + 帶量轉強 + 【新增】年線走平或上揚",115.0,115.34,-0.3%,年線下方待突破 (上升/走平),6455321,19.86%,1.37x
2886,兆豐金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強, 年線上下3% + 均線糾結 + 帶量轉強 + 【新增】年線走平或上揚",39.35,38.65,1.82%,年線上方整理 (上升/走平),20745923,2.08%,0.95x
2356,英業達,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強, 年線上下3% + 均線糾結 + 帶量轉強 + 【新增】年線走平或上揚",53.0,51.97,1.99%,年線上方整理 (上升/走平),28703710,2.52%,0.93x
1722,台肥,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強, 年線上下3% + 均線糾結 + 帶量轉強 + 【新增】年線走平或上揚",64.9,63.35,2.45%,年線上方整理 (上升/走平),3737418,1.25%,0.91x
5880,合庫金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",25.85,26.46,-2.32%,年線下方待突破,16972565,2.11%,1.09x
5876,上海商銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",46.2,44.95,2.79%,年線上方整理,4136790,1.37%,0.43x
2912,統一超,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",273.5,270.42,1.14%,年線上方整理,915852,0.52%,0.96x
2892,第一金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",27.8,27.24,2.06%,年線上方整理,14318347,1.27%,1.04x
2801,彰銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",18.35,17.89,2.58%,年線上方整理,23675229,0.85%,1.81x
2633,台灣高鐵,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",30.15,30.14,0.04%,年線上方整理,3653950,0.59%,1.07x
2409,友達,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",18.05,17.67,2.17%,年線上方整理,42039086,1.85%,1.4x
2206,三陽工業,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",76.7,75.65,1.39%,年線上方整理,1819000,1.5%,0.71x
2027,大成鋼,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",38.65,38.76,-0.27%,年線下方待突破,9414589,2.51%,1.57x
1590,亞德客-KY,年線下上3%以內,1010.0,1030.54,-1.99%,年線下方準備突破,321814,,
1102,亞泥,年線下上3%以內,41.4,41.1,0.73%,年線上方強勢整理,4756813,,
