代號,名稱,觸發策略,收盤,年線位置,距離年線,狀態,成交量,糾結度,量比
2892,第一金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",27.8,27.24,2.06%,年線上方整理,14318347,1.27%,1.04x
2027,大成鋼,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",38.65,38.76,-0.27%,年線下方待突破,9414589,2.51%,1.57x
2645,長榮航太,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",109.5,108.18,1.22%,年線上方整理,593015,1.46%,0.92x
2395,研華,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",359.5,364.62,-1.41%,年線下方待突破,547862,4.48%,0.43x
1605,華新,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",37.35,37.68,-0.86%,年線下方待突破,12135577,1.74%,1.27x
3231,緯創,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",109.5,109.04,0.42%,年線上方整理,68238896,4.09%,1.51x
2409,友達,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",18.05,17.67,2.17%,年線上方整理,42039086,1.85%,1.4x
2356,英業達,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",53.0,51.97,1.99%,年線上方整理,28703710,2.52%,0.93x
2886,兆豐金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",39.35,38.65,1.82%,年線上方整理,20745923,2.08%,0.95x
2912,統一超,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",273.5,270.42,1.14%,年線上方整理,915852,0.52%,0.96x
2206,三陽工業,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",76.7,75.65,1.39%,年線上方整理,1819000,1.5%,0.71x
5876,上海商銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",46.2,44.95,2.79%,年線上方整理,4136790,1.37%,0.43x
2633,台灣高鐵,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",30.15,30.14,0.04%,年線上方整理,3653950,0.59%,1.07x
3036,文曄,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",115.0,115.34,-0.3%,年線下方待突破,6455321,19.86%,1.37x
2801,彰銀,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",18.35,17.89,2.58%,年線上方整理,23675229,0.85%,1.81x
1722,台肥,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",64.9,63.35,2.45%,年線上方整理,3737418,1.25%,0.91x
5880,合庫金,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",25.85,26.46,-2.32%,年線下方待突破,16972565,2.11%,1.09x
1101,台泥,"年線下上3%以內, 年線上下3% + 均線糾結 + 帶量轉強",33.05,33.96,-2.69%,年線下方待突破,9374984,2.6%,0.9x
3661,世芯-KY,年線下上3%以內,2920.0,2906.31,0.47%,年線上方強勢整理,1295408,,
1590,亞德客-KY,年線下上3%以內,1010.0,1030.54,-1.99%,年線下方準備突破,321814,,
1102,亞泥,年線下上3%以內,41.4,41.1,0.73%,年線上方強勢整理,4756813,,
3023,信邦,年線下上3%以內,298.5,299.45,-0.32%,年線下方準備突破,541643,,
