觸發日期,代號,名稱,收盤,策略狀態,停損價,1Y內最高績效,1Y內最低績效,觸發策略,5日線,20日線,季線(60),20MA乖離率,20日區間振幅,年線位置,年線(240),5日線5日斜率,季線20日斜率,年線20日斜率,距離年線,年線OLS斜率,年線R平方,5日內曾有跳空,5日內曾有爆量,季線扣抵均值,季線扣抵最高,中短期糾結度,今日量比,沉澱天數,前置沉澱扎實度評估
2025/2/27,2887,台新新光金,15.82276726,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.68636227,53.76% (2026-02-23),-18.39% $$2025-04-09$$,V轉選股,15.86,,15.87,,,,15.95,0.46%,0.43%,0.64%,,,,,,,,,,,
2025/2/25,2887,台新新光金,15.86823463,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.68636227,53.32% (2026-02-23),-18.62% $$2025-04-09$$,V轉選股,15.87,,15.88,,,,15.94,0.63%,0.51%,0.66%,,,,,,,,,,,
2020/8/27,2330,台積電,398.0126648,第一型：短線強勢動能與均線交叉發散?可買進,372.0163879,53.16% (2021-01-21),-4.21% $$2020-09-24$$,右側突破策略,389.59,384.88,333.37,3.41%,9.55%,上,,,,,,,,,,,,,,,
2024/8/21,4763,材料*-KY,73.1920929,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",62.49101639,52.38% $$2025-03-10$$,-11.35% (2025-04-09),V轉選股,70.58,,69.63,,,,72.55,6.67%,0.93%,1.07%,,,,,,,,,,,
2025/9/2,2880,華南金,29,第一型：短線強勢動能與均線交叉發散?可買進,27.60000038,51.9% (2026-08-06) (未滿1年),-2.24% $$2025-11-19$$ (未滿1年),右側突破策略,28.19,28.03,26.94,3.45%,3.39%,上,,,,,,,,,,,,,,,
2020/8/14,3005,神基,31.59902,【築底驗證成功】A級多頭順勢跟隨?可買進,6.32%,51.82% (2021-03-30),-2.16% $$2020-08-20$$,U底籌碼沉澱突破,,,,,,,,,,,-0.77%,-0.01%,0.93,有,有 (最高量比 3.38x),31.6,32.42,1.85%,2.41x,29,"29/60, 門檻15~30天"
2020/6/30,2449,京元電子,24.34572792,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",21.93596077,51.16% (2021-04-29),-9.15% $$2020-09-23$$,V轉選股,23.73,,23.68,,,,24.33,2.79%,0.98%,1.79%,,,,,,,,,,,
2019/2/11,1513,中興電,15.10421753,【築底驗證成功】逆勢黃金狙擊?必買進,3.02%,50.73% (2020-02-06),1.0% $$2019-02-15$$,U底籌碼沉澱突破,,,,,,,,,,,-0.62%,-0.02%,0.87,無,有 (最高量比 2.48x),15.38,15.56,1.23%,2.04x,24,"24/60, 門檻15~30天"
2020/6/16,6515,穎崴,290.4058228,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",280.0032349,50.45% $$2020-08-04$$,-32.99% (2021-05-17),右側突破策略,282.08,280.52,266.71,3.52%,0.00%,上,,,,,,,,,,,,,,,
2020/1/17,2353,宏碁,12.84781361,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",12.28462124,49.79% (2020-09-15),-27.4% $$2020-03-19$$,V轉選股,12.67,,12.67,,,,12.97,2.33%,0.31%,-0.15%,,,,,,,,,,,
2020/7/7,3005,神基,32.35308075,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",30.126791,48.28% (2021-03-30),-7.66% $$2020-07-27$$,V轉選股,31.73,,31.6,,,,31.87,3.64%,1.11%,0.51%,,,,,,,,,,,
2015/11/3,2449,京元電子,12.6026926,"【築底驗證成功】逆勢過渡標的?必買進, 爆發力強",2.52%,48.02% (2016-08-01),-6.99% $$2015-11-25$$,U底籌碼沉澱突破,,,,,,,,,,,-9.94%,-0.01%,0.85,無,有 (最高量比 2.77x),11.99,12.51,2.60%,1.69x,29,"29/60, 門檻15~30天"
2023/4/10,3034,聯詠,351.4803772,第一型：短線強勢動能與均線交叉發散?可買進,325.1684265,47.91% (2024-02-27),-10.5% $$2023-05-15$$,右側突破策略,340.64,336.46,307.86,4.46%,7.94%,上,,,,,,,,,,,,,,,
2023/8/23,1477,聚陽,280.3555298,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",251.6011353,46.63% (2024-07-19),-4.07% $$2023-09-20$$,右側突破策略,261.75,258.39,238.75,8.50%,11.29%,上,,,,,,,,,,,,,,,
2025/2/24,2887,台新新光金,15.86823463,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",15.68636227,45.45% (2026-02-11),-18.62% $$2025-04-09$$,V轉選股,15.86,,15.88,,,,15.93,0.63%,0.50%,0.66%,,,,,,,,,,,
2024/4/24,2618,長榮航,29.46076012,第一型：短線強勢動能與均線交叉發散?可買進,26.43367958,45.05% (2025-01-22),-6.64% $$2024-08-05$$,右側突破策略,27.52,27.14,26.89,8.57%,6.44%,上,,,,,,,,,,,,,,,
2025/3/20,2615,萬海,81.76081848,第一型：短線強勢動能與均線交叉發散?可買進,74.42092896,43.75% (2025-05-22),-30.57% $$2025-04-09$$,右側突破策略,80.39,79.15,75.82,3.30%,10.56%,上,,,,,,,,,,,,,,,
2018/2/26,3034,聯詠,70.78184509,第一型：短線強勢動能與均線交叉發散?可買進,66.39227295,42.99% (2019-02-20),-5.81% $$2018-05-07$$,右側突破策略,69.03,68.41,65.27,3.47%,13.64%,上,,,,,,,,,,,,,,,
2024/7/17,2027,大成鋼,34.51631546,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",32.35341263,42.85% (2025-03-20),-21.56% $$2025-01-08$$,V轉選股,33.73,,33.68,,,,33.7,1.68%,-0.07%,-0.17%,,,,,,,,,,,
2020/11/9,6669,緯穎,649.8075562,第一型：短線強勢動能與均線交叉發散?可買進,588.9921875,42.31% (2021-07-14),-14.62% $$2020-12-03$$,右側突破策略,617.48,612.28,608.46,6.13%,8.84%,上,,,,,,,,,,,,,,,
2016/10/11,6191,精成科,7.45194006,第一型：短線強勢動能與均線交叉發散?可買進,7.283079624,41.93% (2017-09-05),0.0% $$2016-11-09$$,右側突破策略,7.4,7.36,6.77,1.18%,9.97%,上,,,,,,,,,,,,,,,
2016/7/13,8464,億豐,204.8124542,第一型：短線強勢動能與均線交叉發散?可買進,190.6755676,41.91% $$2016-10-06$$,-12.09% (2017-04-12),右側突破策略,198.12,197.54,192,3.68%,9.77%,上,,,,,,,,,,,,,,,
2015/3/11,2313,華通,11.67803192,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",11.31515503,41.36% (2015-09-15),-2.26% $$2015-06-09$$,V轉選股,11.76,,11.78,,,,12.02,1.37%,0.96%,0.79%,,,,,,,,,,,
2015/3/12,2313,華通,11.71101952,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",11.31515503,40.97% (2015-09-15),-2.54% $$2015-06-09$$,V轉選股,11.76,,11.77,,,,12.02,1.14%,0.78%,0.80%,,,,,,,,,,,
2024/1/9,2385,群光,156.6308746,第一型：短線強勢動能與均線交叉發散?可買進,148.9695892,40.49% $$2024-03-19$$,-19.03% (2024-12-17),右側突破策略,153.14,152.25,133.18,2.88%,13.14%,上,,,,,,,,,,,,,,,
2023/6/5,6805,富世達,228.6178436,第一型：短線強勢動能與均線交叉發散?可買進,208.759079,286.06% (2024-03-19),-22.66% $$2023-08-04$$,右側突破策略,218.83,215.23,196,6.22%,16.43%,上,,,,,,,,,,,,,,,
2019/3/29,2313,華通,18.30409241,第一型：短線強勢動能與均線交叉發散?可買進,16.75943947,127.12% (2019-11-14),-6.96% $$2019-05-29$$,右側突破策略,17.42,17.27,16.53,6.02%,8.72%,上,,,,,,,,,,,,,,,
2024/1/29,2317,鴻海,93.64641571,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",90.08328247,126.64% (2024-07-08),-1.46% $$2024-02-15$$,V轉選股,92.92,,92.56,,,,93.69,1.92%,-0.02%,0.55%,,,,,,,,,,,
2025/8/11,2883,凱基金,14.8767767,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.4462595,112.41% (2026-08-05),-3.87% $$2025-09-26$$,V轉選股,14.84,,14.95,,,,15.31,1.77%,0.37%,0.24%,,,,,,,,,,,
2025/9/9,2330,台積電,1184.214966,第一型：短線強勢動能與均線交叉發散?可買進,1144.741211,111.95% (2026-06-22) (未滿1年),2.08% $$2025-09-10$$ (未滿1年),右側突破策略,1160.53,1154.61,1115.05,2.56%,5.56%,上,,,,,,,,,,,,,,,
2015/6/8,8464,億豐,98.6468811,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",89.04684448,111.82% (2016-05-30),-8.23% $$2015-06-16$$,右側突破策略,91.45,90.14,89.36,9.43%,1.67%,上,,,,,,,,,,,,,,,
2025/8/8,2883,凱基金,14.92461205,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.4462595,111.73% (2026-08-05),-4.18% $$2025-09-26$$,V轉選股,14.8,,14.96,,,,15.31,1.58%,0.44%,0.21%,,,,,,,,,,,
2024/11/25,6442,光聖,518.3557739,第一型：短線強勢動能與均線交叉發散?可買進,461.9493103,111.35% (2025-11-20),-44.47% $$2025-04-09$$,右側突破策略,498.71,492.78,425.95,5.19%,18.55%,上,,,,,,,,,,,,,,,
2025/8/12,2883,凱基金,14.9724474,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.4462595,111.05% (2026-08-05) (未滿1年),-4.49% $$2025-09-26$$ (未滿1年),V轉選股,14.89,,14.94,,,,15.31,1.83%,0.24%,0.26%,,,,,,,,,,,
2022/3/23,1605,華新,24.99706268,第一型：短線強勢動能與均線交叉發散?可買進,23.68365669,110.48% (2023-02-20),-4.75% $$2022-04-07$$,右側突破策略,24.68,24.54,23.08,1.88%,15.37%,上,,,,,,,,,,,,,,,
2025/8/13,2883,凱基金,15.0681181,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.4462595,109.71% (2026-08-05) (未滿1年),-5.09% $$2025-09-26$$ (未滿1年),V轉選股,14.93,,14.94,,,,15.31,1.63%,0.15%,0.28%,,,,,,,,,,,
2020/12/16,6415,矽力*-KY,618.0258179,第一型：短線強勢動能與均線交叉發散?可買進,550.5609741,109.13% (2021-11-17),-15.59% $$2021-03-22$$,右側突破策略,572.97,564.78,499.62,9.43%,18.13%,上,,,,,,,,,,,,,,,
2025/7/24,2883,凱基金,14.6854353,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.20708275,109.05% (2026-07-08),-2.62% $$2025-09-26$$,V轉選股,14.69,,14.96,,,,15.28,0.13%,0.33%,0.04%,,,,,,,,,,,
2025/8/14,2883,凱基金,15.1637888,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",14.4462595,108.39% (2026-08-05) (未滿1年),-5.69% $$2025-09-26$$ (未滿1年),V轉選股,15,,14.93,,,,15.31,1.88%,0.04%,0.29%,,,,,,,,,,,
2025/7/23,2883,凱基金,14.73327065,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.20708275,108.37% (2026-07-08),-2.94% $$2025-09-26$$,V轉選股,14.7,,14.96,,,,15.28,0.79%,0.20%,0.08%,,,,,,,,,,,
2025/8/6,2883,凱基金,14.82894135,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.20708275,108.04% (2026-07-23),-3.56% $$2025-09-26$$,V轉選股,14.7,,14.96,,,,15.3,0.59%,0.43%,0.12%,,,,,,,,,,,
2025/8/7,2883,凱基金,14.82894135,"季線明確向上,年線無高扣抵,5/10/20季線下短多排列?必買進",14.39842415,108.04% (2026-07-23),-3.56% $$2025-09-26$$,V轉選股,14.72,,14.96,,,,15.3,0.85%,0.42%,0.17%,,,,,,,,,,,
2025/8/11,5434,崇越,289.3444824,"第二型：$勝率極高$ 短線強勢動能與均線交叉發散, 並結構突破?必買進",272.7547607,105.98% (2026-07-16),-4.55% $$2025-08-22$$,右側突破策略,281.15,280.02,262.95,3.33%,5.92%,上,,,,,,,,,,,,,,,
2019/9/10,1590,亞德客-KY,299.7245178,"季線在年線下、年季線皆走平或走揚,5日線強勢突破季線且高於10/20日?可買進",260.8154907,105.0% (2020-08-28),-2.79% $$2020-03-19$$,V轉選股,287.56,,287.28,,,,290.72,3.15%,0.77%,1.22%,,,,,,,,,,,
2017/8/18,2360,致茂,77.65555573,第一型：短線強勢動能與均線交叉發散?可買進,75.02179718,104.99% (2018-08-02),-0.1% $$2017-08-21$$,右側突破策略,77.03,76.58,74.96,1.41%,7.50%,上,,,,,,,,,,,,,,,
2021/3/29,1795,美時,70.57641602,【築底驗證成功】S級多頭極致收斂?必買進,14.12%,103.96% (2021-07-21),-10.13% $$2021-05-13$$,U底籌碼沉澱突破,,,,,,,,,,,-3.59%,0.08%,0.85,無,有 (最高量比 2.17x),72.74,75.78,1.47%,1.33x,16,"16/60, 門檻15~30天"
2025/9/10,5434,崇越,292.2720947,第一型：短線強勢動能與均線交叉發散?可買進,277.1461487,103.92% (2026-07-16) (未滿1年),-4.34% $$2025-11-19$$ (未滿1年),右側突破策略,286.22,284.12,277.31,2.87%,7.90%,上,,,,,,,,,,,,,,,
2020/4/30,2357,華碩,126.2125168,第一型：短線強勢動能與均線交叉發散?可買進,120.2914352,103.14% (2021-04-16),-3.21% $$2020-05-06$$,右側突破策略,123.91,122.74,125.13,2.83%,7.11%,上,,,,,,,,,,,,,,,
