代號,名稱,觸發策略,收盤,距離年線,年線20日斜率,中短期糾結度,今日量比,策略狀態
1229,聯華,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,38.79999923706055,-14.66%,-0.06%,9.33%,0.98x,【左側超跌】多頭拉回錯殺，年線仍維持多頭慣性
1504,東元,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,66.39749908447266,-8.35%,2.1%,6.42%,0.63x,【左側超跌】多頭拉回錯殺，年線仍維持多頭慣性
2812,台中銀,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,18.850000381469727,-9.34%,0.65%,6.41%,0.68x,【左側超跌】多頭拉回錯殺，年線仍維持多頭慣性
2845,遠東銀,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,11.949999809265137,-4.19%,0.27%,3.09%,1.39x,【右側突破】均線糾結＋量能表態，年線已改平
2886,兆豐金,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,39.54999923706055,-1.68%,0.45%,0.48%,1.43x,【右側突破】均線糾結＋量能表態，年線已改平
6191,精成科,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,90.4000015258789,-14.89%,3.07%,9.82%,0.77x,【左側超跌】多頭拉回錯殺，年線仍維持多頭慣性
