代號,名稱,觸發策略,收盤,策略狀態,停損價,5日線,20日線,季線(60),20MA乖離率,20日區間振幅,年線位置
2354,鴻準,右側突破策略,61.0,第一型：短線強勢動能與均線交叉發散➔可買進,53.0,57.08,55.86,56.58,9.2%,12.17%,上
2376,技嘉,右側突破策略,344.0,第一型：短線強勢動能與均線交叉發散➔可買進,307.14190673828125,333.4,327.21,328.66,5.13%,14.1%,上
