代號,名稱,觸發策略,收盤,距離年線,年線20日斜率,中短期糾結度,今日量比,策略狀態
1504,東元,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,60.56462478637695,-13.93%,2.13%,24.51%,0.78x,【左側超跌】多頭拉回錯殺，年線仍維持多頭慣性
6191,精成科,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,90.80000305175781,-10.25%,2.58%,14.96%,0.59x,【左側超跌】多頭拉回錯殺，年線仍維持多頭慣性
6781,AES-KY,***底部篩選***年線以下左側錯殺V轉模式或右側突破打底模式,998.0,-11.66%,0.48%,11.65%,0.65x,【左側超跌】多頭拉回錯殺，年線仍維持多頭慣性
