代號,名稱,觸發策略,收盤,年線位置,負乖離率,年線20日斜率,狀態
1102,亞泥,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",35.79999923706055,36.68,-2.41%,-1.28%,年線仍持續下跌
1216,統一,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",74.5,75.72,-1.62%,-0.31%,年線走平築底中
1229,聯華,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",41.900001525878906,45.38,-7.67%,-0.08%,年線走平築底中
1476,儒鴻,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",327.0,374.26,-12.63%,-1.15%,年線仍持續下跌
1477,聚陽,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",221.5,262.69,-15.68%,-0.46%,年線走平築底中
1504,東元,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",70.0,74.6,-6.17%,2.65%,年線走平築底中
1722,台肥,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",48.150001525878906,48.2,-0.1%,-0.64%,年線仍持續下跌
1795,美時,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",193.0,245.84,-21.49%,-0.85%,年線仍持續下跌
2002,中鋼,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",19.100000381469727,19.15,-0.29%,-0.02%,年線走平築底中
2105,正新,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",29.649999618530273,32.04,-7.45%,-2.58%,年線仍持續下跌
2207,和泰車,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",482.0,520.55,-7.41%,-1.38%,年線仍持續下跌
2258,鴻華先進-創,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",33.0,36.79,-10.3%,-2.41%,年線仍持續下跌
2354,鴻準,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",57.900001525878906,62.41,-7.23%,-0.1%,年線走平築底中
2371,大同,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",28.299999237060547,34.77,-18.6%,-2.34%,年線仍持續下跌
2385,群光,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",114.0,121.0,-5.78%,-0.73%,年線仍持續下跌
2539,櫻花建,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",39.95000076293945,47.62,-16.1%,-2.32%,年線仍持續下跌
2609,陽明,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",51.29999923706055,55.4,-7.4%,-2.3%,年線仍持續下跌
2615,萬海,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",80.4000015258789,80.86,-0.57%,-1.86%,年線仍持續下跌
2633,台灣高鐵,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",26.149999618530273,27.18,-3.8%,-0.5%,年線走平築底中
2646,星宇航空,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",21.25,23.29,-8.76%,-1.75%,年線仍持續下跌
2812,台中銀,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",19.799999237060547,20.79,-4.77%,-0.0%,年線走平築底中
2912,統一超,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",223.5,235.04,-4.91%,-0.87%,年線仍持續下跌
3005,神基,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",101.5,116.69,-13.02%,-0.48%,年線走平築底中
4583,台灣精銳,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",630.0,684.23,-7.93%,-1.61%,年線仍持續下跌
4763,材料*-KY,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",44.29999923706055,56.7,-21.86%,-5.94%,年線仍持續下跌
6176,瑞儀,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",87.9000015258789,116.81,-24.75%,-2.73%,年線仍持續下跌
6191,精成科,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",100.5,107.84,-6.81%,1.34%,年線走平築底中
6409,旭隼,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",926.0,975.14,-5.04%,-4.26%,年線仍持續下跌
6472,保瑞,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",422.5,557.59,-24.23%,-4.04%,年線仍持續下跌
6781,AES-KY,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",1180.0,1181.9,-0.16%,1.31%,年線走平築底中
6919,康霈*,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",109.0,142.11,-23.3%,-0.15%,年線走平築底中
8464,億豐,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",358.0,377.5,-5.17%,-1.67%,年線仍持續下跌
9904,寶成,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",26.149999618530273,28.9,-9.51%,-0.94%,年線仍持續下跌
9910,豐泰,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",72.5999984741211,100.17,-27.52%,-2.87%,年線仍持續下跌
9941,裕融,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",81.4000015258789,87.15,-6.6%,-1.65%,年線仍持續下跌
9945,潤泰新,"***底部轉強*** 負乖離>20%, 年線下跌趨緩接近走平",27.5,28.38,-3.1%,-1.25%,年線仍持續下跌
